instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,hr,time_of_day
650,2012-10-11,4,1,10,0,4,1,1,0.435,0.431167,0.463333,0.181596,834,6736,7570,,
651,2012-10-12,4,1,10,0,5,1,1,0.4375,0.433071,0.539167,0.235092,1060,6222,7282,,
652,2012-10-13,4,1,10,0,6,0,1,0.393333,0.391396,0.494583,0.146142,2252,4857,7109,,
653,2012-10-14,4,1,10,0,0,0,1,0.521667,0.508204,0.640417,0.278612,2080,4559,6639,,
654,2012-10-15,4,1,10,0,1,1,2,0.561667,0.53915,0.7075,0.296037,760,5115,5875,,
655,2012-10-16,4,1,10,0,2,1,1,0.468333,0.460846,0.558333,0.182221,922,6612,7534,,
656,2012-10-17,4,1,10,0,3,1,1,0.455833,0.450108,0.692917,0.101371,979,6482,7461,,
657,2012-10-18,4,1,10,0,4,1,2,0.5225,0.512625,0.728333,0.236937,1008,6501,7509,,
658,2012-10-19,4,1,10,0,5,1,2,0.563333,0.537896,0.815,0.134954,753,4671,5424,,
659,2012-10-20,4,1,10,0,6,0,1,0.484167,0.472842,0.572917,0.117537,2806,5284,8090,,
660,2012-10-21,4,1,10,0,0,0,1,0.464167,0.456429,0.51,0.166054,2132,4692,6824,,
661,2012-10-22,4,1,10,0,1,1,1,0.4875,0.482942,0.568333,0.0814833,830,6228,7058,,
662,2012-10-23,4,1,10,0,2,1,1,0.544167,0.530304,0.641667,0.0945458,841,6625,7466,,
663,2012-10-24,4,1,10,0,3,1,1,0.5875,0.558721,0.63625,0.0727792,795,6898,7693,,
664,2012-10-25,4,1,10,0,4,1,2,0.55,0.529688,0.800417,0.124375,875,6484,7359,,
665,2012-10-26,4,1,10,0,5,1,2,0.545833,0.52275,0.807083,0.132467,1182,6262,7444,,
666,2012-10-27,4,1,10,0,6,0,2,0.53,0.515133,0.72,0.235692,2643,5209,7852,,
667,2012-10-28,4,1,10,0,0,0,2,0.4775,0.467771,0.694583,0.398008,998,3461,4459,,
668,2012-10-29,4,1,10,0,1,1,3,0.44,0.4394,0.88,0.3582,2,20,22,,
669,2012-10-30,4,1,10,0,2,1,2,0.318182,0.309909,0.825455,0.213009,87,1009,1096,,
670,2012-10-31,4,1,10,0,3,1,2,0.3575,0.3611,0.666667,0.166667,419,5147,5566,,
671,2012-11-01,4,1,11,0,4,1,2,0.365833,0.369942,0.581667,0.157346,466,5520,5986,,
672,2012-11-02,4,1,11,0,5,1,1,0.355,0.356042,0.522083,0.266175,618,5229,5847,,
673,2012-11-03,4,1,11,0,6,0,2,0.343333,0.323846,0.49125,0.270529,1029,4109,5138,,
674,2012-11-04,4,1,11,0,0,0,1,0.325833,0.329538,0.532917,0.179108,1201,3906,5107,,
675,2012-11-05,4,1,11,0,1,1,1,0.319167,0.308075,0.494167,0.236325,378,4881,5259,,
676,2012-11-06,4,1,11,0,2,1,1,0.280833,0.281567,0.567083,0.173513,466,5220,5686,,
677,2012-11-07,4,1,11,0,3,1,2,0.295833,0.274621,0.5475,0.304108,326,4709,5035,,
678,2012-11-08,4,1,11,0,4,1,1,0.352174,0.341891,0.333478,0.347835,340,4975,5315,,
679,2012-11-09,4,1,11,0,5,1,1,0.361667,0.355413,0.540833,0.214558,709,5283,5992,,
680,2012-11-10,4,1,11,0,6,0,1,0.389167,0.393937,0.645417,0.0578458,2090,4446,6536,,
681,2012-11-11,4,1,11,0,0,0,1,0.420833,0.421713,0.659167,0.1275,2290,4562,6852,,
682,2012-11-12,4,1,11,1,1,0,1,0.485,0.475383,0.741667,0.173517,1097,5172,6269,,
683,2012-11-13,4,1,11,0,2,1,2,0.343333,0.323225,0.662917,0.342046,327,3767,4094,,
684,2012-11-14,4,1,11,0,3,1,1,0.289167,0.281563,0.552083,0.199625,373,5122,5495,,
685,2012-11-15,4,1,11,0,4,1,2,0.321667,0.324492,0.620417,0.152987,320,5125,5445,,
686,2012-11-16,4,1,11,0,5,1,1,0.345,0.347204,0.524583,0.171025,484,5214,5698,,
687,2012-11-17,4,1,11,0,6,0,1,0.325,0.326383,0.545417,0.179729,1313,4316,5629,,
688,2012-11-18,4,1,11,0,0,0,1,0.3425,0.337746,0.692917,0.227612,922,3747,4669,,
689,2012-11-19,4,1,11,0,1,1,2,0.380833,0.375621,0.623333,0.235067,449,5050,5499,,
690,2012-11-20,4,1,11,0,2,1,2,0.374167,0.380667,0.685,0.082725,534,5100,5634,,
691,2012-11-21,4,1,11,0,3,1,1,0.353333,0.364892,0.61375,0.103246,615,4531,5146,,
692,2012-11-22,4,1,11,1,4,0,1,0.34,0.350371,0.580417,0.0528708,955,1470,2425,,
693,2012-11-23,4,1,11,0,5,1,1,0.368333,0.378779,0.56875,0.148021,1603,2307,3910,,
694,2012-11-24,4,1,11,0,6,0,1,0.278333,0.248742,0.404583,0.376871,532,1745,2277,,
695,2012-11-25,4,1,11,0,0,0,1,0.245833,0.257583,0.468333,0.1505,309,2115,2424,,
696,2012-11-26,4,1,11,0,1,1,1,0.313333,0.339004,0.535417,0.04665,337,4750,5087,,
697,2012-11-27,4,1,11,0,2,1,2,0.291667,0.281558,0.786667,0.237562,123,3836,3959,,
698,2012-11-28,4,1,11,0,3,1,1,0.296667,0.289762,0.50625,0.210821,198,5062,5260,,
699,2012-11-29,4,1,11,0,4,1,1,0.28087,0.298422,0.555652,0.115522,243,5080,5323,,
700,2012-11-30,4,1,11,0,5,1,1,0.298333,0.323867,0.649583,0.0584708,362,5306,5668,,
701,2012-12-01,4,1,12,0,6,0,2,0.298333,0.316904,0.806667,0.0597042,951,4240,5191,,
702,2012-12-02,4,1,12,0,0,0,2,0.3475,0.359208,0.823333,0.124379,892,3757,4649,,
703,2012-12-03,4,1,12,0,1,1,1,0.4525,0.455796,0.7675,0.0827208,555,5679,6234,,
704,2012-12-04,4,1,12,0,2,1,1,0.475833,0.469054,0.73375,0.174129,551,6055,6606,,
705,2012-12-05,4,1,12,0,3,1,1,0.438333,0.428012,0.485,0.324021,331,5398,5729,,
706,2012-12-06,4,1,12,0,4,1,1,0.255833,0.258204,0.50875,0.174754,340,5035,5375,,
707,2012-12-07,4,1,12,0,5,1,2,0.320833,0.321958,0.764167,0.1306,349,4659,5008,,
708,2012-12-08,4,1,12,0,6,0,2,0.381667,0.389508,0.91125,0.101379,1153,4429,5582,,
709,2012-12-09,4,1,12,0,0,0,2,0.384167,0.390146,0.905417,0.157975,441,2787,3228,,
710,2012-12-10,4,1,12,0,1,1,2,0.435833,0.435575,0.925,0.190308,329,4841,5170,,
711,2012-12-11,4,1,12,0,2,1,2,0.353333,0.338363,0.596667,0.296037,282,5219,5501,,
712,2012-12-12,4,1,12,0,3,1,2,0.2975,0.297338,0.538333,0.162937,310,5009,5319,,
713,2012-12-13,4,1,12,0,4,1,1,0.295833,0.294188,0.485833,0.174129,425,5107,5532,,
714,2012-12-14,4,1,12,0,5,1,1,0.281667,0.294192,0.642917,0.131229,429,5182,5611,,
715,2012-12-15,4,1,12,0,6,0,1,0.324167,0.338383,0.650417,0.10635,767,4280,5047,,
716,2012-12-16,4,1,12,0,0,0,2,0.3625,0.369938,0.83875,0.100742,538,3248,3786,,
717,2012-12-17,4,1,12,0,1,1,2,0.393333,0.4015,0.907083,0.0982583,212,4373,4585,,
718,2012-12-18,4,1,12,0,2,1,1,0.410833,0.409708,0.66625,0.221404,433,5124,5557,,
719,2012-12-19,4,1,12,0,3,1,1,0.3325,0.342162,0.625417,0.184092,333,4934,5267,,
720,2012-12-20,4,1,12,0,4,1,2,0.33,0.335217,0.667917,0.132463,314,3814,4128,,
721,2012-12-21,1,1,12,0,5,1,2,0.326667,0.301767,0.556667,0.374383,221,3402,3623,,
722,2012-12-22,1,1,12,0,6,0,1,0.265833,0.236113,0.44125,0.407346,205,1544,1749,,
723,2012-12-23,1,1,12,0,0,0,1,0.245833,0.259471,0.515417,0.133083,408,1379,1787,,
724,2012-12-24,1,1,12,0,1,1,2,0.231304,0.2589,0.791304,0.0772304,174,746,920,,
725,2012-12-25,1,1,12,1,2,0,2,0.291304,0.294465,0.734783,0.168726,440,573,1013,,
726,2012-12-26,1,1,12,0,3,1,3,0.243333,0.220333,0.823333,0.316546,9,432,441,,
727,2012-12-27,1,1,12,0,4,1,2,0.254167,0.226642,0.652917,0.350133,247,1867,2114,,
728,2012-12-28,1,1,12,0,5,1,2,0.253333,0.255046,0.59,0.155471,644,2451,3095,,
729,2012-12-29,1,1,12,0,6,0,2,0.253333,0.2424,0.752917,0.124383,159,1182,1341,,
730,2012-12-30,1,1,12,0,0,0,1,0.255833,0.2317,0.483333,0.350754,364,1432,1796,,
731,2012-12-31,1,1,12,0,1,1,2,0.215833,0.223487,0.5775,0.154846,439,2290,2729,,
1,2011-01-01,1,0,1,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,0,Malam
2,2011-01-01,1,0,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,1,Malam
3,2011-01-01,1,0,1,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,2,Malam
4,2011-01-01,1,0,1,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,3,Malam
5,2011-01-01,1,0,1,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,4,Malam
6,2011-01-01,1,0,1,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,5,Malam
7,2011-01-01,1,0,1,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,6,Pagi
8,2011-01-01,1,0,1,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,7,Pagi
9,2011-01-01,1,0,1,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,8,Pagi
10,2011-01-01,1,0,1,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,9,Pagi
11,2011-01-01,1,0,1,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,10,Pagi
12,2011-01-01,1,0,1,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,11,Pagi
13,2011-01-01,1,0,1,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,12,Siang
14,2011-01-01,1,0,1,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,13,Siang
15,2011-01-01,1,0,1,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,14,Siang
16,2011-01-01,1,0,1,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,15,Siang
17,2011-01-01,1,0,1,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,16,Sore
18,2011-01-01,1,0,1,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,17,Sore
19,2011-01-01,1,0,1,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,18,Sore
20,2011-01-01,1,0,1,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,19,Malam
21,2011-01-01,1,0,1,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,20,Malam
22,2011-01-01,1,0,1,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,21,Malam
23,2011-01-01,1,0,1,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,22,Malam
24,2011-01-01,1,0,1,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,23,Malam
25,2011-01-02,1,0,1,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,0,Malam
26,2011-01-02,1,0,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,1,Malam
27,2011-01-02,1,0,1,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,2,Malam
28,2011-01-02,1,0,1,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,3,Malam
29,2011-01-02,1,0,1,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,4,Malam
30,2011-01-02,1,0,1,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,6,Pagi
31,2011-01-02,1,0,1,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,7,Pagi
32,2011-01-02,1,0,1,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,8,Pagi
33,2011-01-02,1,0,1,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,9,Pagi
34,2011-01-02,1,0,1,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,10,Pagi
35,2011-01-02,1,0,1,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,11,Pagi
36,2011-01-02,1,0,1,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,12,Siang
37,2011-01-02,1,0,1,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,13,Siang
38,2011-01-02,1,0,1,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,14,Siang
39,2011-01-02,1,0,1,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,15,Siang
40,2011-01-02,1,0,1,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,16,Sore
41,2011-01-02,1,0,1,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,17,Sore
42,2011-01-02,1,0,1,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,18,Sore
43,2011-01-02,1,0,1,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,19,Malam
44,2011-01-02,1,0,1,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,20,Malam
45,2011-01-02,1,0,1,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,21,Malam
46,2011-01-02,1,0,1,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,22,Malam
47,2011-01-02,1,0,1,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,23,Malam
48,2011-01-03,1,0,1,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,0,Malam
49,2011-01-03,1,0,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,1,Malam
50,2011-01-03,1,0,1,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,4,Malam
51,2011-01-03,1,0,1,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,5,Malam
52,2011-01-03,1,0,1,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,6,Pagi
53,2011-01-03,1,0,1,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,7,Pagi
54,2011-01-03,1,0,1,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,8,Pagi
55,2011-01-03,1,0,1,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,9,Pagi
56,2011-01-03,1,0,1,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,10,Pagi
57,2011-01-03,1,0,1,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,11,Pagi
58,2011-01-03,1,0,1,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,12,Siang
59,2011-01-03,1,0,1,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,13,Siang
60,2011-01-03,1,0,1,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,14,Siang
61,2011-01-03,1,0,1,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,15,Siang
62,2011-01-03,1,0,1,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,16,Sore
63,2011-01-03,1,0,1,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,17,Sore
64,2011-01-03,1,0,1,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,18,Sore
65,2011-01-03,1,0,1,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,19,Malam
66,2011-01-03,1,0,1,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,20,Malam
67,2011-01-03,1,0,1,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,21,Malam
68,2011-01-03,1,0,1,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,22,Malam
69,2011-01-03,1,0,1,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,23,Malam
70,2011-01-04,1,0,1,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,0,Malam
71,2011-01-04,1,0,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,1,Malam
72,2011-01-04,1,0,1,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,2,Malam
73,2011-01-04,1,0,1,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,4,Malam
74,2011-01-04,1,0,1,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,5,Malam
75,2011-01-04,1,0,1,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,6,Pagi
76,2011-01-04,1,0,1,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,7,Pagi
77,2011-01-04,1,0,1,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,8,Pagi
78,2011-01-04,1,0,1,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,9,Pagi
79,2011-01-04,1,0,1,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,10,Pagi
80,2011-01-04,1,0,1,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,11,Pagi
81,2011-01-04,1,0,1,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,12,Siang
82,2011-01-04,1,0,1,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,13,Siang
83,2011-01-04,1,0,1,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,14,Siang
84,2011-01-04,1,0,1,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,15,Siang
85,2011-01-04,1,0,1,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,16,Sore
86,2011-01-04,1,0,1,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,17,Sore
87,2011-01-04,1,0,1,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,18,Sore
88,2011-01-04,1,0,1,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,19,Malam
89,2011-01-04,1,0,1,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,20,Malam
90,2011-01-04,1,0,1,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,21,Malam
91,2011-01-04,1,0,1,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,22,Malam
92,2011-01-04,1,0,1,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,23,Malam
93,2011-01-05,1,0,1,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,0,Malam
94,2011-01-05,1,0,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,1,Malam
95,2011-01-05,1,0,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,2,Malam
96,2011-01-05,1,0,1,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,4,Malam
97,2011-01-05,1,0,1,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,5,Malam
98,2011-01-05,1,0,1,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,6,Pagi
99,2011-01-05,1,0,1,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,7,Pagi
100,2011-01-05,1,0,1,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,8,Pagi
101,2011-01-05,1,0,1,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,9,Pagi
102,2011-01-05,1,0,1,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,10,Pagi
103,2011-01-05,1,0,1,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,11,Pagi
104,2011-01-05,1,0,1,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,12,Siang
105,2011-01-05,1,0,1,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,13,Siang
106,2011-01-05,1,0,1,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,14,Siang
107,2011-01-05,1,0,1,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,15,Siang
108,2011-01-05,1,0,1,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,16,Sore
109,2011-01-05,1,0,1,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,17,Sore
110,2011-01-05,1,0,1,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,18,Sore
111,2011-01-05,1,0,1,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,19,Malam
112,2011-01-05,1,0,1,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,20,Malam
113,2011-01-05,1,0,1,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,21,Malam
114,2011-01-05,1,0,1,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,22,Malam
115,2011-01-05,1,0,1,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,23,Malam
116,2011-01-06,1,0,1,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,0,Malam
117,2011-01-06,1,0,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,1,Malam
118,2011-01-06,1,0,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,2,Malam
119,2011-01-06,1,0,1,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,4,Malam
120,2011-01-06,1,0,1,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,5,Malam
121,2011-01-06,1,0,1,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,6,Pagi
122,2011-01-06,1,0,1,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,7,Pagi
123,2011-01-06,1,0,1,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,8,Pagi
124,2011-01-06,1,0,1,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,9,Pagi
125,2011-01-06,1,0,1,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,10,Pagi
126,2011-01-06,1,0,1,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,11,Pagi
127,2011-01-06,1,0,1,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,12,Siang
128,2011-01-06,1,0,1,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,13,Siang
129,2011-01-06,1,0,1,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,14,Siang
130,2011-01-06,1,0,1,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,15,Siang
131,2011-01-06,1,0,1,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,16,Sore
132,2011-01-06,1,0,1,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,17,Sore
133,2011-01-06,1,0,1,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,18,Sore
134,2011-01-06,1,0,1,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,19,Malam
135,2011-01-06,1,0,1,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,20,Malam
136,2011-01-06,1,0,1,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,21,Malam
137,2011-01-06,1,0,1,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,22,Malam
138,2011-01-06,1,0,1,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,23,Malam
139,2011-01-07,1,0,1,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,0,Malam
140,2011-01-07,1,0,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,1,Malam
141,2011-01-07,1,0,1,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,2,Malam
142,2011-01-07,1,0,1,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,4,Malam
143,2011-01-07,1,0,1,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,5,Malam
144,2011-01-07,1,0,1,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,6,Pagi
145,2011-01-07,1,0,1,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,7,Pagi
146,2011-01-07,1,0,1,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,8,Pagi
147,2011-01-07,1,0,1,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,9,Pagi
148,2011-01-07,1,0,1,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,10,Pagi
149,2011-01-07,1,0,1,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,11,Pagi
150,2011-01-07,1,0,1,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,12,Siang
151,2011-01-07,1,0,1,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,13,Siang
152,2011-01-07,1,0,1,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,14,Siang
153,2011-01-07,1,0,1,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,15,Siang
154,2011-01-07,1,0,1,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,16,Sore
155,2011-01-07,1,0,1,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,17,Sore
156,2011-01-07,1,0,1,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,18,Sore
157,2011-01-07,1,0,1,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,19,Malam
158,2011-01-07,1,0,1,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,20,Malam
159,2011-01-07,1,0,1,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,21,Malam
160,2011-01-07,1,0,1,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,22,Malam
161,2011-01-07,1,0,1,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,23,Malam
162,2011-01-08,1,0,1,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,0,Malam
163,2011-01-08,1,0,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,1,Malam
164,2011-01-08,1,0,1,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,2,Malam
165,2011-01-08,1,0,1,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,3,Malam
166,2011-01-08,1,0,1,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,4,Malam
167,2011-01-08,1,0,1,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,5,Malam
168,2011-01-08,1,0,1,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,6,Pagi
169,2011-01-08,1,0,1,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,7,Pagi
170,2011-01-08,1,0,1,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,8,Pagi
171,2011-01-08,1,0,1,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,9,Pagi
172,2011-01-08,1,0,1,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,10,Pagi
173,2011-01-08,1,0,1,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,11,Pagi
174,2011-01-08,1,0,1,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,12,Siang
175,2011-01-08,1,0,1,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,13,Siang
176,2011-01-08,1,0,1,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,14,Siang
177,2011-01-08,1,0,1,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,15,Siang
178,2011-01-08,1,0,1,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,16,Sore
179,2011-01-08,1,0,1,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,17,Sore
180,2011-01-08,1,0,1,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,18,Sore
181,2011-01-08,1,0,1,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,19,Malam
